City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.1926,-175.1773,24.16,94,20,2.06,TO,1681050233
1,palabuhanratu,-6.9882,106.5504,25.47,97,99,1.65,ID,1681050220
2,albany,42.6512,-73.755,8.84,38,20,1.54,US,1681050195
3,angelholm,56.2429,12.8619,14.19,38,0,3.6,SE,1681050312
4,chuy,-33.6938,-53.4561,23.19,55,0,2.35,BR,1681050226
5,sabha,-18.1416,178.4422,23.71,100,20,0.0,FJ,1681050313
6,fenoarivo,-21.7185,46.3814,26.52,60,19,3.82,MG,1681050313
7,kahului,20.8894,-156.4727,22.66,88,75,5.14,US,1681050314
8,dingle,11.0001,122.6718,24.57,85,100,2.77,PH,1681050185
9,riviere-au-renard,48.9926,-64.3858,-1.01,62,99,7.32,CA,1681050315
10,mataura,-46.1927,168.8643,11.38,97,99,1.62,NZ,1681050190
11,nemuro,43.3301,145.5829,1.9,74,29,7.49,JP,1681050316
12,new norfolk,-42.7802,147.0615,8.97,73,100,1.34,AU,1681050189
13,enterprise,31.3152,-85.8552,9.94,89,100,5.66,US,1681050317
14,korla,41.7239,86.1735,17.25,16,5,4.72,CN,1681050317
15,burica,8.0637,-82.9127,27.31,67,14,1.47,PA,1681050318
16,rikitea,-23.123,-134.968,24.56,63,0,4.73,PF,1681050193
17,tambilil,5.975,124.6762,26.01,87,100,1.37,PH,1681050319
18,fortuna,40.5974,-124.156,8.38,83,21,2.68,US,1681050319
19,hoi an,10.4339,105.5499,27.98,67,92,5.51,VN,1681050320
20,port alfred,-33.5982,26.8915,17.81,85,99,3.58,ZA,1681050231
21,port blair,11.6645,92.739,28.68,79,40,1.03,IN,1681050320
22,hegang,47.3289,130.2817,7.56,34,5,2.22,CN,1681050321
23,chapais,49.783,-74.8573,0.86,87,100,5.03,CA,1681050321
24,tiksi,71.6366,128.8685,-14.61,96,100,2.76,RU,1681050200
25,hermanus,-34.4175,19.2361,18.8,55,1,6.54,ZA,1681050180
26,repatriacion,-25.5366,-55.9931,26.1,53,0,1.75,PY,1681050322
27,ponta do sol,32.6811,-17.1041,23.0,58,1,1.79,PT,1681050323
28,sinnamary,5.3771,-52.9572,27.93,66,94,2.71,GF,1681050323
29,niceville,30.5188,-86.4845,12.14,86,100,5.14,US,1681049992
30,whitewater,37.9647,-97.1475,15.1,36,0,5.14,US,1681050324
31,araguacu,-12.9289,-49.8231,28.74,70,97,1.39,BR,1681050325
32,kalmunai,7.4132,81.8269,27.77,74,53,2.78,LK,1681050325
33,chapleau,47.8456,-83.4019,3.03,41,0,4.12,CA,1681050326
34,umm kaddadah,13.6002,26.6893,39.31,5,100,4.86,SD,1681050326
35,cape town,-33.929,18.4174,21.05,57,40,4.12,ZA,1681050201
36,chokurdakh,70.6194,147.9024,-23.75,91,78,4.18,RU,1681050216
37,ormskirk,53.5674,-2.886,15.01,64,100,7.07,GB,1681050327
38,khatanga,71.9819,102.4715,-20.43,97,100,3.35,RU,1681050224
39,myitkyina,25.3833,97.4,25.58,30,0,1.06,MM,1681050328
40,ushuaia,-54.8061,-68.3185,1.83,80,75,6.69,AR,1681050181
41,georgetown,6.8137,-58.1624,31.16,59,46,3.45,GY,1681050217
42,ahuimanu,21.4406,-157.8321,22.83,89,100,7.72,US,1681050329
43,nizhneyansk,71.4404,136.1306,-12.94,91,100,6.82,RU,1681050330
44,skibbereen,52.251,-7.1508,11.8,80,75,7.72,IE,1681050330
45,saint anthony,45.0283,-93.2187,13.56,41,0,8.75,US,1681050331
46,esperance,-33.8582,121.8932,17.39,82,55,5.86,AU,1681050175
47,puerto quijarro,-19.0044,-57.7157,26.98,78,75,2.06,BR,1681050332
48,ilan,46.2521,129.7391,10.6,27,6,2.64,CN,1681050333
49,atuona,-9.8037,-139.0426,27.05,71,2,5.46,PF,1681050333
50,faanui,-16.4824,-151.7338,27.25,73,100,5.97,PF,1681050227
51,mareeba,-17.1295,143.9242,24.95,80,100,2.65,AU,1681050335
52,vardo,70.3308,30.9618,1.38,80,40,5.14,NO,1681050335
53,bacabal,-4.2318,-44.7812,24.44,93,100,1.04,BR,1681050335
54,bluff,-46.5988,168.3434,11.63,86,100,3.32,NZ,1681050197
55,tuktoyaktuk,69.444,-133.0319,-17.0,78,75,8.75,CA,1681050193
56,vaitupu,-7.4769,178.6808,28.65,77,100,7.22,TV,1681050336
57,bonthe,7.5273,-12.502,31.36,53,99,5.73,SL,1681050337
58,ancud,-41.8675,-73.8278,12.4,76,100,2.38,CL,1681049960
59,sumbawa,-8.5949,117.2716,18.09,97,100,1.76,ID,1681050338
60,dickinson,46.8792,-102.7896,4.34,70,0,4.63,US,1681050303
61,busselton,-33.6445,115.3489,14.56,85,62,2.03,AU,1681050210
62,mugumu,-1.8336,34.6607,21.38,66,100,0.64,TZ,1681050339
63,norman wells,65.2824,-126.8327,-7.98,93,20,2.06,CA,1681050339
64,saint-philippe,45.3584,-73.479,6.79,49,0,2.06,CA,1681050339
65,olinda,-7.9986,-34.846,28.01,74,75,2.57,BR,1681050216
66,malibu,34.0356,-118.6894,15.1,94,2,1.05,US,1681050340
67,baragua,10.5832,-69.9484,27.03,60,53,3.34,VE,1681050341
68,amderma,69.7522,61.6623,-13.7,93,100,6.66,RU,1681050220
69,yellowknife,62.4541,-114.3774,-2.9,93,75,2.57,CA,1681050105
70,tsihombe,-25.3185,45.4841,26.67,73,0,6.14,MG,1681050341
71,katsina,12.9894,7.6006,40.94,7,99,5.14,NG,1681050342
72,airai,-8.9266,125.4092,15.96,95,100,1.26,TL,1681050211
73,punta arenas,-53.1626,-70.9078,4.16,70,20,10.8,CL,1681050144
74,ransang,0.4709,102.0932,23.94,91,99,0.38,ID,1681050343
75,port elizabeth,-33.9617,25.6208,17.31,77,20,11.83,ZA,1681050215
76,bredasdorp,-34.5331,20.0428,19.6,39,29,6.76,ZA,1681050190
77,omsukchan,62.5128,155.7824,-22.49,99,24,1.49,RU,1681050344
78,apatity,67.5686,33.4044,1.74,87,78,2.09,RU,1681050345
79,soure,40.0595,-8.6264,26.75,36,41,4.81,PT,1681050345
80,jamestown,-15.9277,-5.7161,22.76,80,13,9.01,SH,1681050188
81,puerto ayora,-0.7472,-90.3134,29.55,80,3,0.45,EC,1681050229
82,half moon bay,52.3472,-114.1766,0.7,72,10,2.54,CA,1681050224
83,cabo san lucas,22.8939,-109.9201,21.84,61,81,2.14,MX,1681050195
84,port macquarie,-31.4299,152.9104,14.35,59,0,4.1,AU,1681050213
85,marawi,8.0047,124.2854,20.05,96,100,0.82,PH,1681050234
86,avarua,-21.2075,-159.7708,24.99,88,100,2.06,CK,1681050348
87,sao filipe,14.8953,-24.4969,22.22,70,52,5.25,CV,1681050348
88,torbay,47.6577,-52.727,-0.15,52,40,8.23,CA,1681050229
89,farafangana,-22.8216,47.8307,25.81,78,26,3.03,MG,1681050349
90,moa,39.9479,-1.3662,23.6,14,21,7.63,ES,1681050349
91,venado tuerto,-33.7456,-61.9686,22.21,53,0,5.62,AR,1681050350
92,namatanai,-3.6642,152.4407,25.98,86,100,2.61,PG,1681050350
93,karaton,-6.3424,106.1045,24.01,91,98,2.1,ID,1681050350
94,severo-kurilsk,50.6683,156.1154,1.66,99,100,4.3,RU,1681050212
95,butaritari,2.9205,172.9189,27.38,80,56,3.98,KI,1681050228
96,bathsheba,13.2129,-59.5227,29.22,61,20,8.75,BB,1681050351
97,castro,45.803,10.0671,16.31,67,93,1.79,IT,1681050184
98,ouallam,14.3158,2.0848,39.9,7,100,6.77,NE,1681050352
99,flin flon,54.7698,-101.879,0.73,80,20,2.57,CA,1681050207
100,sao joao da barra,-21.6349,-41.0487,24.06,84,100,6.81,BR,1681050353
101,taos,36.4072,-105.5733,9.0,47,0,2.57,US,1681050353
102,marathon,38.1533,23.9621,18.49,57,100,4.37,GR,1681050354
103,gigmoto,13.7787,124.3912,25.64,85,98,5.73,PH,1681050354
104,pangnirtung,66.148,-65.7173,-20.33,77,2,1.26,CA,1681050354
105,vicuna,-30.0319,-70.7081,11.85,39,4,2.14,CL,1681050254
106,kapaa,22.0747,-159.3192,22.18,89,100,7.72,US,1681050355
107,touros,-5.1999,-35.4595,28.15,77,96,8.57,BR,1681050223
108,te anau,-45.4145,167.7175,9.48,87,100,0.69,NZ,1681050356
109,mehamn,71.039,27.8518,2.97,87,75,5.14,NO,1681050185
110,tocopilla,-22.092,-70.1979,23.15,66,19,3.1,CL,1681049770
111,pevek,69.7028,170.2747,-28.31,100,100,2.57,RU,1681050357
112,kaeo,-35.1017,173.7751,17.47,96,33,4.59,NZ,1681050357
113,paita,-5.0852,-81.1137,27.78,71,95,4.89,PE,1681050358
114,hobart,-42.8825,147.3281,9.0,78,100,8.75,AU,1681050100
115,kodiak,57.79,-152.4072,-7.27,53,100,9.26,US,1681050187
116,bethel,60.7922,-161.7558,-22.81,84,20,2.06,US,1681050230
117,orange cove,36.6244,-119.3137,13.67,95,0,2.06,US,1681050359
118,falealupo,-13.4992,-172.7862,29.2,75,77,8.19,WS,1681050360
119,santarem,39.2364,-8.6867,28.56,35,81,4.74,PT,1681050360
120,coihaique,-45.5712,-72.0685,12.52,71,75,0.0,CL,1681050360
121,eyl,7.9807,49.8188,29.47,66,1,7.47,SO,1681050361
122,port augusta,-32.4909,137.764,15.37,74,2,2.89,AU,1681050361
123,mecca,21.4208,39.8269,34.82,26,41,4.07,SA,1681050361
124,port moresby,-9.4743,147.16,23.53,100,75,2.57,PG,1681050362
125,ambilobe,-13.1944,49.05,27.39,81,99,0.72,MG,1681050362
126,vallenar,-28.575,-70.7616,21.88,58,7,1.58,CL,1681050363
127,hilo,19.7074,-155.0816,23.99,77,0,2.57,US,1681050196
128,ahipara,-35.1664,173.1562,17.75,92,11,5.13,NZ,1681050363
129,east london,-33.0192,27.8999,19.64,77,75,7.72,ZA,1681050207
130,victoria,48.4283,-123.365,10.68,93,100,3.6,CA,1681050196
131,lebu,-37.61,-73.6559,15.6,52,99,1.81,CL,1681050364
132,katsuura,35.1522,140.3207,10.17,73,0,2.41,JP,1681050222
133,dunedin,-45.8741,170.5036,13.62,94,100,6.07,NZ,1681050365
134,caronport,50.4562,-105.8167,4.08,85,23,4.03,CA,1681050365
135,matara,5.9478,80.5483,27.26,74,5,3.78,LK,1681050366
136,olafsvik,64.8959,-23.7084,7.66,83,100,12.24,IS,1681050366
137,hithadhoo,1.7959,73.3876,28.74,68,11,2.4,MV,1681050367
138,gizo,29.9871,31.2118,31.42,25,100,4.89,EG,1681050367
139,sarangani,5.4123,125.4219,27.5,76,100,2.38,PH,1681050368
140,kailua,21.3936,-157.7438,22.92,90,100,7.72,US,1681050368
141,nijar,36.9629,-2.2064,16.96,72,0,3.09,ES,1681050368
142,del rio,29.3655,-100.8947,17.04,86,100,4.63,US,1681050369
143,weymouth,50.6096,-2.4543,14.5,45,100,4.47,GB,1681050369
144,illoqqortoormiut,70.4851,-21.9642,0.16,76,96,1.15,GL,1681050199
145,barrow,71.2906,-156.7886,-25.99,84,100,3.09,US,1681050132
146,knin,44.0409,16.1994,13.49,59,54,4.03,HR,1681050370
147,obo,5.3941,26.4927,30.47,41,90,2.42,CF,1681050370
148,qaanaaq,77.4686,-69.2223,-21.18,62,1,0.84,GL,1681050228
149,warragul,-38.1589,145.9336,10.69,91,100,1.88,AU,1681050184
150,samarai,-10.6106,150.6619,27.62,77,97,0.86,PG,1681050372
151,mar del plata,-37.9977,-57.5483,23.76,67,0,8.75,AR,1681050168
152,sabang,5.8933,95.3214,28.7,73,32,6.1,ID,1681049830
153,makakilo city,21.3469,-158.0858,22.18,84,0,2.57,US,1681050373
154,wana,27.3328,87.3095,20.39,28,10,1.12,NP,1681050373
155,dzheyrakh,42.8208,44.6814,8.96,82,85,0.18,RU,1681050071
156,fairmont,43.6522,-94.4611,11.51,49,0,6.69,US,1681050374
157,novikovo,51.1537,37.8879,12.27,51,80,2.94,RU,1681050375
158,iralaya,15.0028,-83.2259,27.33,64,9,2.68,HN,1681050375
159,morro bay,35.3658,-120.8499,11.62,96,0,2.91,US,1681050375
160,carnarvon,-24.8826,113.6576,22.64,61,3,7.19,AU,1681050376
161,geraldton,-28.7704,114.6147,15.09,82,0,2.57,AU,1681050376
162,labuhan,-6.892,112.9897,27.75,84,100,2.6,ID,1681050377
163,bhusawal,21.0457,75.7808,33.78,26,62,2.58,IN,1681050377
164,alta gracia,-31.6579,-64.4338,26.01,48,0,4.32,AR,1681050378
165,batagay,67.6549,134.6351,-18.32,72,91,3.96,RU,1681050378
166,isla vista,34.4115,-119.8562,13.78,76,100,0.0,US,1681050378
167,tokur,53.1406,132.8903,-3.18,97,99,1.14,RU,1681050379
168,sagauli,26.7695,84.7417,30.45,16,2,3.98,IN,1681050379
169,mercedes,-24.4505,-54.1647,21.14,83,100,3.46,BR,1681050194
170,sembe,11.681,-8.2387,34.31,31,98,1.24,ML,1681050380
171,rapid valley,44.0696,-103.1212,10.48,52,0,4.63,US,1681050380
172,luderitz,-26.65,15.1573,19.93,47,0,13.93,NA,1681050381
173,gombe,-4.3121,15.2881,31.38,56,100,0.43,CD,1681050382
174,lujan,44.2683,11.3234,12.2,63,27,2.78,IT,1681050382
175,arraial do cabo,-22.9663,-42.0244,24.94,88,100,3.09,BR,1681050226
176,barahona,18.2102,-71.1012,27.9,74,20,3.09,DO,1681050383
177,lompoc,34.6392,-120.4579,11.96,97,100,1.54,US,1681050383
178,provideniya,64.4237,-173.2274,-21.19,91,98,1.41,RU,1681050215
179,aden,12.7896,45.0285,28.12,78,8,7.83,YE,1681050384
180,rorvik,64.8616,11.2379,10.06,46,0,5.14,NO,1681050384
181,la ronge,55.1005,-105.29,1.1,75,20,3.6,CA,1681050385
182,coquimbo,-29.9532,-71.338,15.93,94,100,2.57,CL,1681050385
183,comodoro rivadavia,-45.8632,-67.4753,17.25,45,20,10.29,AR,1681050386
184,dien bien,42.907,129.4634,9.57,49,0,1.88,CN,1681050386
185,mamurras,41.5793,19.6977,13.0,71,75,4.63,AL,1681050387
186,dikson,73.5084,80.5124,-19.87,87,100,4.01,RU,1681050225
187,ucluelet,48.9427,-125.546,9.06,94,100,1.79,CA,1681050388
188,itoman,26.106,127.6861,17.79,59,20,2.06,JP,1681050388
189,linhai,28.8617,121.1402,10.37,77,0,1.2,CN,1681050389
190,belmonte,39.5593,-2.7038,26.41,16,33,5.25,ES,1681050203
191,vila franca do campo,37.7172,-25.4335,17.23,91,100,4.64,PT,1681050390
192,port hawkesbury,45.6181,-61.3575,2.14,66,20,6.71,CA,1681050390
193,talnakh,69.494,88.3908,-26.47,99,66,0.98,RU,1681050390
194,asau,46.4389,26.4008,10.69,72,85,1.34,RO,1681050391
195,aflu,34.1125,2.1003,19.88,12,0,4.49,DZ,1681050391
196,goderich,43.7431,-81.7111,6.95,57,0,2.57,CA,1681050392
197,longyearbyen,78.2232,15.6464,2.15,80,75,9.26,SJ,1681050392
198,biltine,14.5252,20.9287,41.5,6,7,1.49,TD,1681050393
199,lagoa,37.1326,-8.4551,20.38,64,5,3.17,PT,1681050197
200,tasiilaq,65.6153,-37.6378,5.28,82,100,15.79,GL,1681050393
201,san cristobal,7.7757,-72.2214,21.93,51,91,2.72,VE,1681050394
202,bara,48.4256,21.717,11.98,51,80,0.89,HU,1681050394
203,timra,62.4922,17.2995,5.15,61,100,2.57,SE,1681050394
204,gobabis,-22.4495,18.9725,26.58,35,98,7.29,NA,1681050395
205,amapa,21.7844,-105.2547,20.21,49,8,1.42,MX,1681050395
206,mackay,-21.1393,149.1851,17.61,65,1,2.01,AU,1681050075
207,pierre,44.3684,-100.3511,4.51,85,0,0.0,US,1681050396
208,oranjemund,-28.5519,16.4284,16.97,61,0,9.09,NA,1681050396
209,fare,45.908,13.5165,15.85,48,75,3.09,IT,1681050396
210,sucua,-2.456,-78.1727,19.34,100,100,2.06,EC,1681050397
211,palmer,61.5996,-149.1111,-9.05,84,100,2.57,US,1681050397
212,duldurga,50.675,113.5893,3.07,55,100,2.7,RU,1681050398
213,abu kamal,34.4506,40.9171,28.97,15,94,9.41,SY,1681050398
214,mahebourg,-20.4111,57.7061,28.21,74,75,3.09,MU,1681050398
215,san juan,18.4653,-66.1167,29.54,68,40,3.6,PR,1681050399
216,vuktyl,63.8443,57.3002,0.28,81,100,5.69,RU,1681050399
217,wanning,18.7961,110.3873,23.24,93,98,1.68,CN,1681050210
218,attawapiskat,52.9244,-82.427,3.0,48,0,6.17,CA,1681050191
219,pochutla,17.6606,-98.8978,22.95,48,5,0.6,MX,1681050400
220,mataram,-8.5838,116.1069,25.46,88,100,2.37,ID,1681050401
221,barentsburg,78.0654,14.2172,1.78,99,100,5.31,SJ,1681050401
222,bramming,55.4656,8.7028,13.34,71,75,1.54,DK,1681050401
223,nikolskoye,59.7035,30.7861,11.94,78,41,3.28,RU,1681050223
224,aswan,24.0911,32.8973,37.84,17,0,2.02,EG,1681050402
225,mogoytuy,51.2831,114.9299,3.63,39,100,5.76,RU,1681050402
226,road town,18.4257,-64.6232,27.99,65,75,5.66,VG,1681050403
227,saint george,12.0535,-61.7518,28.49,70,20,14.4,GD,1681050403
228,lasa,50.4292,2.832,18.1,50,27,3.39,FR,1681050403
229,bengkulu,-3.7923,102.2624,25.0,88,80,2.12,ID,1681050404
230,roebourne,-20.7724,117.1458,28.3,50,19,6.08,AU,1681050237
231,hudson bay,52.8566,-102.3968,2.11,97,90,2.81,CA,1681050405
232,dhidhdhoo,6.889,73.1134,28.75,72,6,5.16,MV,1681050405
233,madimba,-4.3131,15.3125,31.35,57,100,0.32,CD,1681050405
234,ostrovnoy,68.0531,39.5131,0.85,88,100,8.23,RU,1681050071
235,lazaro cardenas,20.225,-97.5931,20.18,95,100,0.23,MX,1681050406
236,kavaratti,10.5672,72.6395,28.31,70,5,0.58,IN,1681050406
237,thompson,55.7433,-97.8635,2.1,64,20,6.17,CA,1681050214
238,verkhoyansk,67.5495,133.3875,-21.26,74,2,5.33,RU,1681050407
239,yumen,40.2917,97.0449,15.28,11,93,8.65,CN,1681050180
240,auki,-8.7706,160.6993,25.8,86,100,1.72,SB,1681050408
241,isangel,-19.5411,169.2811,26.22,81,9,1.29,VU,1681050211
242,khor,20.3241,76.1404,29.02,36,95,1.82,IN,1681050408
243,ilulissat,69.2197,-51.0986,-2.84,80,75,4.12,GL,1681050409
244,baoding,38.858,115.4907,17.8,31,38,2.4,CN,1681050409
245,revelstoke,50.998,-118.1957,2.88,93,100,1.54,CA,1681050410
246,kieta,42.9998,141.4437,3.78,33,5,2.13,JP,1681050232
247,eston,51.1494,-108.753,0.51,83,0,4.56,CA,1681050410
248,tual,-5.639,132.7429,27.91,76,100,3.06,ID,1681050231
249,klaksvik,62.2266,-6.5853,7.58,89,94,13.47,FO,1681050214
250,mustafakemalpasa,40.0351,28.4133,13.03,68,85,4.35,TR,1681050411
251,cidreira,-30.1657,-50.2183,23.01,74,97,5.77,BR,1681050412
252,tuatapere,-46.1323,167.6908,9.64,82,100,1.71,NZ,1681050202
253,kruisfontein,-34.012,24.7433,15.0,84,100,6.62,ZA,1681050412
254,iskateley,67.6762,53.1292,-4.63,94,100,5.66,RU,1681050413
255,ribeira grande,37.8225,-25.5195,17.19,94,75,4.63,PT,1681050204
256,tiarei,-17.5583,-149.3711,23.12,80,100,8.36,PF,1681050413
257,roald,62.5838,6.1242,13.5,40,0,2.57,NO,1681050414
258,mae chan,16.0312,98.6621,18.58,96,97,1.3,TH,1681050414
259,mogadishu,2.0349,45.3419,28.92,84,75,3.09,SO,1681050230
260,nuuk,64.175,-51.7355,-3.6,93,75,3.09,GL,1681050415
261,behbahan,30.5942,50.2434,32.29,14,0,5.67,IR,1681050416
262,cockburn town,21.4608,-71.14,25.23,77,0,7.01,TC,1681050416
263,pangai,-19.8055,-174.3489,27.05,78,36,6.98,TO,1681050416
264,haines junction,60.7527,-137.51,-2.03,86,84,2.06,CA,1681050417
265,ciras,37.207,36.4014,18.23,63,100,1.64,TR,1681050417
266,san patricio,27.9695,-97.7732,18.3,85,22,3.12,US,1681050418
267,new corella,7.586,125.8226,22.74,95,100,1.22,PH,1681050418
268,vao,58.9396,25.9708,10.18,54,80,2.88,EE,1681050419
269,tura,47.39,0.6889,19.32,39,0,2.57,FR,1681050419
270,qabis,17.4074,43.2841,21.85,48,3,2.75,YE,1681050419
271,saint-pierre,48.3833,7.4719,16.25,43,5,2.33,FR,1681050420
272,vanavara,60.3452,102.2809,-10.37,96,100,2.12,RU,1681050420
273,veseloyarsk,51.2858,81.1067,2.59,47,30,2.86,RU,1681050420
274,xuddur,4.1237,43.8916,34.01,23,21,5.74,SO,1681050421
275,atambua,-9.106,124.8881,23.13,92,100,2.06,ID,1681050421
276,malinyi,-8.9439,36.1369,27.16,84,47,1.14,TZ,1681050422
277,berdigestyakh,62.0983,126.6998,-22.66,100,66,1.88,RU,1681050422
278,zlobin,45.2926,14.6536,9.77,43,20,7.2,HR,1681050423
279,jumla,29.2768,82.1823,8.54,64,86,0.34,NP,1681050423
280,mocambique,-2.9585,-44.042,28.95,72,100,0.16,BR,1681050424
281,kavieng,-2.5735,150.7952,26.93,80,100,3.85,PG,1681050424
282,nome,64.5011,-165.4064,-20.96,84,100,0.0,US,1681049913
283,grindavik,63.8442,-22.4317,9.18,87,100,15.95,IS,1681050425
284,tamandare,-8.75,-35.1046,29.05,68,95,2.79,BR,1681050425
285,akhmim,26.5627,31.7434,38.55,7,64,2.19,EG,1681050426
286,louisbourg,45.9235,-59.9643,1.36,58,81,5.81,CA,1681050426
287,nizwa,22.9324,57.5311,29.38,28,95,2.81,OM,1681050427
288,bambous virieux,-20.3472,57.7647,28.31,74,75,3.09,MU,1681050199
